Restaurant Name,Cuisines,Aggregate rating,Price range,City
6 Ballygunge Place,Bengali,4.4,3,Kolkata
Nizam's Kathi Kabab,"North Indian, Fast Food",3.8,2,New Delhi
Unplugged Courtyard,"North Indian, Continental",4.0,3,New Delhi
"Elma's Bakery, Bar, and Kitchen","Continental, American, Italian, Bakery",3.9,3,New Delhi
Bombay Brasserie,North Indian,4.6,3,Chennai
Columbia Restaurant,"Cuban, Spanish",4.4,3,Tampa Bay
Ella's Americana Folk Art Cafe,"International, Italian, Southern",4.8,3,Tampa Bay
Maplai,"South Indian, Chettinad",4.2,3,Chennai
The Chatter House,"Finger Food, Italian, North Indian",4.0,3,New Delhi
Hollerbach's Willow Tree Cafi,German,4.8,3,Orlando
The California Boulevard,"American, Asian, European, Seafood",4.6,4,New Delhi
Seasons 52 Fresh Grill,American,4.4,4,Orlando
Curlies,"Continental, North Indian, Italian, Seafood, Goan",3.5,4,Goa
Dhaba By Claridges,North Indian,4.0,4,Gurgaon
Rose Cafe,"Cafe, Italian, Lebanese, Continental, Mediterranean",4.1,3,New Delhi
Lights Camera Action - Air Bar,"North Indian, Continental",4.4,3,New Delhi
Red Mesa Cantina,"Latin American, Mexican, Southwestern",4.6,2,Tampa Bay
Naivedyam,South Indian,4.2,2,New Delhi
Sigree Global Grill,North Indian,4.1,3,Kolkata
Dunkin' Donuts,"Burger, Desserts, Fast Food",3.9,2,New Delhi
L'amandier,"European, Cafe, Italian",4.3,3,Chennai
145 Kala Ghoda,"Fast Food, Beverages, Desserts",4.2,3,Mumbai
Made In Punjab,"North Indian, Mughlai",4.0,3,Gurgaon
Al Jawahar,"Mughlai, North Indian",3.8,2,New Delhi
German Bakery Wunderbar,"Italian, German, Continental",4.0,3,Pune
650 - The Global Kitchen,"Chinese, Italian, North Indian, Mexican, Mediterranean, Thai",4.2,3,Ahmedabad
18 Degrees Resto Lounge,"North Indian, Mediterranean, Chinese",3.6,4,Pune
Echoes Satyaniketan,"Cafe, Continental, Italian, Mexican, Chinese, American",4.7,2,New Delhi
FIO Country Kitchen and Bar,"European, Italian, North Indian",4.2,4,New Delhi
The Junkyard Cafe,"North Indian, Mediterranean, Asian",3.9,3,New Delhi
The Hudson Cafe,"Cafe, Italian, Continental, Chinese",4.4,2,New Delhi
Agent Jack's Bar,"Continental, North Indian, Italian",4.2,3,Pune
Effingut Brewerkz,"Continental, North Indian, Mughlai, Burmese",4.3,3,Pune
YOLO 21,"Cafe, Italian, Continental",4.2,2,New Delhi
Garam Dharam,North Indian,3.4,3,New Delhi
Fusilli Reasons,Italian,4.6,1,Chennai
Pantry d'or,"Continental, Cafe, Italian, Desserts",4.4,2,Chennai
Caffe Tonino,"Pizza, Italian, Cafe",3.9,3,New Delhi
Skye,"Italian, Continental",4.1,3,Jakarta
Duke's Waikiki,"Hawaiian, Seafood, Steak",4.4,4,Rest of Hawaii
Natraj Dahi Bhalle Wala,Street Food,3.9,1,New Delhi
Imly,"Street Food, North Indian, Chinese, Continental",3.9,2,New Delhi
Gabbar's Bar & Kitchen,"North Indian, Chinese, Mexican, Italian",4.4,3,Kolkata
Chokhi Dhani,Rajasthani,4.3,3,Jaipur
Prankster,"Modern Indian, North Indian",4.8,3,Gurgaon
Toodz House,"Cafe, Italian, Coffee and Tea, Western, Indonesian",4.6,3,Jakarta
Tapri Central,"Cafe, Fast Food, Street Food",4.7,2,Jaipur
Pom Pom's Teahouse and Sandwicheria,"American, Sandwich, Tea",4.9,2,Orlando
Wenger's Deli,"Bakery, Desserts, Fast Food",4.3,1,New Delhi
Maharaja Bhog,"Indian, Rajasthani",4.1,2,Dubai
The Vintage Avenue,"North Indian, Chinese, Continental, Italian",3.9,2,New Delhi
Pind Balluchi,"North Indian, Mughlai",3.6,3,New Delhi
United Kitchens of India,"North Indian, Andhra, Chettinad, Bengali, Mughlai, Chinese",4.1,3,Hyderabad
Boombox Cafe,"American, Italian, North Indian, Chinese, Lebanese",3.6,4,New Delhi
Mazzaro's Italian Market,"Italian, Deli",4.9,1,Tampa Bay
Spice Kraft,"Continental, Middle Eastern, Asian",4.8,3,Kolkata
Mr. Dunderbak's Biergarten and Marketplatz,"European, German",4.9,3,Tampa Bay
Onesta,"Pizza, Cafe, Italian",4.3,2,Bangalore
Tibby's New Orleans Kitchen,Cajun,4.7,2,Orlando
Coffee Cup,"Cafe, Continental",4.6,2,Secunderabad
Peg Leg Pete's,"Burger, Sandwich, Seafood",4.4,3,Pensacola
Indus Flavour,"North Indian, Chinese, Cafe",4.1,2,New Delhi
FLYP@MTV,"North Indian, Mexican, Italian, Continental",3.9,3,New Delhi
21 Gun Salute,"North Indian, Mughlai, Asian, Continental",3.9,4,Gurgaon
My Bar Grill,"North Indian, Italian, Continental, Chinese",3.3,3,New Delhi
Salt Rock Grill,"American, Seafood, Steak",4.2,3,Tampa Bay
Three Dots & A Dash,"European, Continental",3.9,3,Bangalore
Tresind - Nassima Royal Hotel,Indian,4.9,4,Dubai
SALT,"Fast Food, Burger",4.3,3,Dubai
Fresc Co,"Italian, Mediterranean",3.8,3,New Delhi
Mama's Fish House,"Hawaiian, Seafood",4.9,4,Rest of Hawaii
Earl of Sandwich,"American, Sandwich, Salad",4.7,3,Orlando
Shake Square,"Beverages, Fast Food",3.7,1,New Delhi
Mamagoto,"Asian, Thai, Chinese",4.1,3,New Delhi
Sakley's The Mountain Cafe,"Cafe, Italian, Continental, Fast Food",4.3,3,New Delhi
Yauatcha,"Chinese, Dim Sum",4.7,4,London
Rumba Island Bar & Grill,"BBQ, Caribbean, Seafood",4.6,2,Tampa Bay
Sita Ram Diwan Chand,Street Food,4.3,1,New Delhi
Paradise,"Biryani, North Indian",3.8,2,Chennai
Jungle Jamboree,"Continental, Chinese, Thai, Mughlai, North Indian",3.8,3,Gurgaon
2 Bandits Lounge & Bar,"Italian, Continental, Mexican, North Indian",3.9,3,New Delhi
Patang - The Revolving Restaurant,"Continental, Chinese, North Indian",3.7,4,Ahmedabad
Sbarro,"Pizza, Italian",3.5,2,New Delhi
J'adore Chocolatier,Desserts,4.7,2,UAstanbul
Karaki_y Gi_lli_oUolu,"Desserts, Bi_rek",4.7,2,UAstanbul
Indian Coffee House,Fast Food,3.3,1,New Delhi
Oh! Calcutta,"Bengali, Seafood",4.4,3,New Delhi
Cafi Tu Tu Tango,"New American, Tapas",4.6,3,Orlando
Hawkers Asian Street Fare,"Asian, Thai",4.6,3,Orlando
Koramangala Social,"Continental, American",4.5,3,Bangalore
Kinbuck 2,"North Indian, Italian, Mexican, Chettinad, Chinese, Lebanese",3.9,3,New Delhi
Rasoi Ghar,Indian,4.3,2,Dubai
The Fish House,"American, Seafood, Sushi",4.0,3,Pensacola
Cactus Flower Cafe,"Latin American, Mexican, Southwestern",4.2,2,Pensacola
Coal Barbecues,"North Indian, Mediterranean, Asian, Arabian",4.6,3,Chennai
Indian Grill Room,"North Indian, Mughlai",4.5,3,Gurgaon
Punjabi By Nature,"North Indian, Mughlai",3.7,3,New Delhi
Yellow Dog Eats,"American, BBQ, Sandwich",4.9,3,Orlando
Infantaria,"Italian, Continental, Goan",3.7,3,Goa
India Restaurant,"Biryani, North Indian, Chinese, Mughlai",4.6,2,Kolkata
Basil With A Twist,"Continental, Cafe, Spanish, Italian, European, Greek, Mediterranean",4.5,3,Chennai
Craft,"European, Pizza",4.1,4,Johannesburg
Red Mesa Restaurant,"Breakfast, Mexican",4.5,3,Tampa Bay
The Lady & Sons,Southern,3.3,3,Savannah
Smoke House Deli,"European, Italian, Cafe",4.1,3,New Delhi
Evergreen Sweet House,"South Indian, North Indian, Chinese, Fast Food, Street Food, Mithai",3.5,1,New Delhi
7 Degrees Brauhaus,"Continental, North Indian, European, Finger Food",4.2,4,Gurgaon
Town Hall,"Japanese, Thai, Italian, Asian",3.8,4,New Delhi
Lemongrass,"Peranakan, Indonesian",4.0,3,Bogor
Hillstone,Unknown,4.4,3,Orlando
Open House Cafe,"North Indian, Chinese, Mughlai, Italian",3.8,3,New Delhi
Havemore,North Indian,4.1,3,New Delhi
Haldiram's,"Street Food, North Indian, South Indian, Chinese, Mithai",3.9,2,New Delhi
'Ohana,Hawaiian,4.5,3,Orlando
TGI Friday's,"American, Tex-Mex",3.5,4,Noida
The Little Next Door,"Finger Food, Italian, Spanish, Greek",4.1,3,Pune
Nini's Kitchen,"North Indian, Continental, Beverages, Italian, Burger, Healthy Food, Mediterranean",4.5,3,Ahmedabad
Cafeteria & Co.,"Continental, Mexican",4.6,2,New Delhi
Rajdhani Thali Restaurant,"Gujarati, Rajasthani",3.6,2,New Delhi
HotMess,"North Indian, Mediterranean, Asian, Fast Food",4.3,3,New Delhi
What's Up,"Cafe, Chinese, Continental",4.0,3,Kolkata
Whipped,"Bakery, Desserts",4.2,2,New Delhi
Replay,"North Indian, Continental, Chinese, Italian, Mexican",4.3,3,Jaipur
Martin's Corner,"Goan, Seafood, Chinese, North Indian",4.4,4,Goa
Centro,"Italian, Pizza",4.5,3,Des Moines
Hoppipola,"Italian, Mexican, American, Mediterranean",4.2,3,Kolkata
The Urban Foundry,"North Indian, Asian",4.5,3,Pune
Castle 9,"Finger Food, Continental, North Indian, Chinese",3.1,3,New Delhi
Transmetropolitan,"Italian, Pizza, Sandwich",4.4,1,Athens
My Bar Square,"North Indian, Chinese, Italian, Continental",2.5,3,New Delhi
Legends Barbeques,"North Indian, Chinese, Mediterranean, Asian, Continental",3.9,3,Noida
Veda,"North Indian, Mughlai",3.9,3,New Delhi
Lanterns Kitchen & Bar,"Italian, North Indian, Chinese, Mughlai",3.8,3,New Delhi
Yard House,"American, Asian, Burger",4.6,3,Rest of Hawaii
Zizo,"Lebanese, Mediterranean, Middle Eastern, Arabian",3.9,3,New Delhi
Spezia Bistro,"Cafe, Continental, Chinese, Italian",4.6,2,New Delhi
Silantro Fil-Mex,"Filipino, Mexican",4.9,3,Pasig City
Flame & Grill,"North Indian, Continental",3.9,3,Kolkata
The Beer Cafe,"Finger Food, North Indian",3.6,3,New Delhi
Grandson of Tunday Kababi,"Mughlai, Lucknowi",4.9,1,Lucknow
Hula Grill,"Hawaiian, Seafood, Steak",4.3,3,Rest of Hawaii
RollsKing,Fast Food,4.0,1,Noida
Sutra Gastropub,"Mediterranean, European, American, North Indian",3.8,4,Gurgaon
Yanki Sizzlers,"Continental, Italian, Chinese",4.1,3,Ahmedabad
Ocean Grill,"Continental, Seafood, North Indian, Asian",3.6,3,Kolkata
Ceviz AUoacU,"World Cuisine, Patisserie, Cafe",4.2,3,UAstanbul
Coast Cafe,"Continental, Kerala",4.5,3,New Delhi
Zen,"Chinese, Japanese, Italian, Seafood",3.5,3,New Delhi
Hickory Park,"BBQ, Burger, Desserts",4.5,2,Des Moines
The Wolfpack,"American, Burger",4.1,4,Johannesburg
Coni_u,"Bakery, Desserts",4.8,2,Hyderabad
The Moon Under Water,"British, Bar Food, Sandwich",4.1,2,Tampa Bay
Teddy Boy,"North Indian, Continental, Finger Food",3.9,3,New Delhi
Mrs. Wilkes' Dining Room,"American, Southern",4.5,3,Savannah
Ceviche Tapas Bar & Restaurant,"Breakfast, Spanish, Tapas",4.4,2,Tampa Bay
Bistro 37,"Fast Food, Chinese",4.3,1,Noida
Ciclo Cafe,"Cafe, Continental",4.1,3,Chennai
Tales & Spirits,"Italian, Continental, Cafe",4.1,2,Pune
Flechazo,"Asian, Mediterranean, North Indian",4.4,3,Bangalore
Pal Dhaba,North Indian,3.8,2,Chandigarh
Cevi_che Tapas Bar & Restaurant,"Spanish, Tapas",4.4,3,Orlando
California Pizza Kitchen,"Pizza, Italian",3.7,4,Gurgaon
Matchbox,"American, British, Continental",4.0,3,New Delhi
Bikanervala,"Mithai, North Indian, South Indian, Fast Food, Street Food, Chinese",3.8,2,Gurgaon
Dishoom,"Indian, North Indian, Curry, Cafe",4.7,2,London
Caffe 9,"North Indian, Chinese, Italian, American, Middle Eastern",4.2,4,New Delhi
Asia Kitchen by Mainland China,"Asian, Chinese",4.6,3,Kolkata
Mocha,"Cafe, Continental, Desserts",4.4,3,Ahmedabad
Zombie Burger + Drink Lab,"Burger, Desserts, Vegetarian",4.2,1,Des Moines
The Farm,"Mediterranean, Italian, Thai, European",3.9,3,Dubai
BellaBrava,"American, Italian, Seafood",4.1,2,Tampa Bay
Souza Lobo,"North Indian, Continental, Goan",4.3,4,Goa
Sr. Sol 1,Mexican,4.6,1,Athens
The Forresta Kitchen & Bar,"Continental, Mexican, Beverages, Desserts, North Indian, Chinese, Rajasthani",4.0,3,Jaipur
The Big Chill Cakery,"Bakery, Desserts",4.4,2,New Delhi
St. Anthony's,"North Indian, Chinese, Continental, Goan, Seafood",3.8,4,Goa
Bahama Breeze Island Grille,Caribbean,4.3,3,Orlando
Zaffran,"North Indian, Mughlai",3.9,3,New Delhi
Green Truck Pub,Burger,4.7,3,Savannah
The Grand Marlin,"Caribbean, Seafood",4.3,3,Pensacola
Union Deli,"Desserts, Bakery, Western",4.6,3,Jakarta
Aook Kahve,Restaurant Cafe,4.0,4,UAstanbul
Global Grill,"European, International, Tapas",4.4,3,Pensacola
Licorish Bistro,"European, South African",4.6,4,Sandton
Vintage Machine,"Italian, American, Lebanese",4.3,3,Lucknow
Pebble Street,"Italian, Tex-Mex, Continental, North Indian",3.9,4,New Delhi
Maggiano's Little Italy,Italian,4.4,4,Orlando
The English Department Bar & Diner,"Italian, Continental, Mexican, Japanese, American, British",3.9,3,Mumbai
Moonshine Cafe & Bar,"Continental, Italian",3.5,4,New Delhi
The Crab Shack,Seafood,3.8,3,Savannah
Karnataka Food Centre,South Indian,4.1,1,New Delhi
Leopold's Ice Cream,"Desserts, Sandwich, Ice Cream",4.6,1,Savannah
Goldy's Breakfast Bistro,"Breakfast, Sandwich",4.5,2,Boise
Bardenay,"American, Bar Food",4.5,2,Boise
Kesar Da Dhabha,North Indian,4.1,2,Amritsar
Emirgan Si_tio,"Restaurant Cafe, Turkish, Desserts",4.2,3,UAstanbul
Cafi MRP,"North Indian, Chinese, Italian, Mediterranean",3.6,2,New Delhi
Le Cafe,Cafe,3.1,2,Puducherry
The Refinery,"Seafood, Steak",4.0,3,Tampa Bay
Valonia,"Restaurant Cafe, Desserts",4.2,3,UAstanbul
Aloha Mixed Plate,"Asian, Breakfast, Hawaiian",4.2,1,Rest of Hawaii
Satoo - Hotel Shangri-La,"Asian, Indonesian, Western",4.6,3,Jakarta
Cafe Dalal Street,"North Indian, European",3.7,3,New Delhi
Baltazar,"Burger, Izgara",4.3,3,UAstanbul
Pita Pit,"Healthy Food, Salad",3.9,2,Gurgaon
Amici Cafe,"Cafe, Pizza, Italian",3.8,3,New Delhi
Hudsons,"Burger, Finger Food, Pizza",4.0,4,Johannesburg
Jonathan's Kitchen - Holiday Inn Express & Suites,"North Indian, Japanese, Italian",4.3,3,Hyderabad
Miyabi 9,"Japanese, Sushi",4.8,2,Des Moines
Fat Fish,"North Indian, Continental, Goan",4.2,4,Goa
Gola Sizzlers,"Chinese, North Indian, Mughlai, Continental",3.5,3,Gurgaon
Mama's Boy Restaurant,Southern,4.5,1,Athens
Conch Republic Grill,"Sandwich, Seafood, Steak",4.5,3,Tampa Bay
Hops n Grains,"North Indian, Middle Eastern, Pizza",4.2,4,Panchkula
Culinaire,"Chinese, Thai",3.8,3,New Delhi
On The House,"Italian, Continental, Mexican, Cafe, Bakery",4.4,3,Jaipur
Art of Spices,"Fast Food, North Indian, Mughlai",4.0,2,New Delhi
Palmshore,"North Indian, Mughlai, Chinese, South Indian",4.2,2,Chennai
Zenbu,"Japanese, Sushi, Ramen",4.4,3,Jakarta
38 Barracks,"North Indian, Italian, Asian, American",4.4,3,New Delhi
Ritz Classic,"Goan, Seafood, North Indian",4.5,3,Goa
Cafe Public Connection,"North Indian, Continental, Italian",3.7,3,New Delhi
Burbee's Cafe,"American, Italian, Chinese, North Indian, Cafe",3.7,2,Noida
Tu-Do Vietnamese Restaurant,"Asian, Vietnamese",4.5,1,Pensacola
Gastronomica Kitchen & Bar,"European, Asian, North Indian, Italian, Continental, Pizza",4.1,3,New Delhi
Boise Fry Company,"American, Burger",4.4,1,Boise
Yellow Brick Road - Taj Vivanta,"Continental, North Indian, South Indian, Italian",3.9,4,New Delhi
Shorts Burger and Shine,Burger,4.9,1,Cedar Rapids/Iowa City
Dastarkhwan,Mughlai,4.4,2,Lucknow
Virgin Courtyard,Italian,4.4,4,Chandigarh
Original Georgios Authentic Greek Food,Greek,4.7,1,Pensacola
Billu's Hut,"Fast Food, Chinese",3.9,1,New Delhi
Yeti - The Himalayan Kitchen,"Tibetan, Nepalese",3.7,3,New Delhi
Sansei Seafood Restaurant & Sushi Bar,"Japanese, Seafood, Sushi",4.2,3,Rest of Hawaii
Daily Eats,"American, Burger",4.4,2,Tampa Bay
Zambar,"South Indian, Seafood, Kerala",4.0,3,Gurgaon
Huey's On The River,"Breakfast, Cajun",4.1,3,Savannah
Sevilla - The Claridges,"Spanish, Italian",4.3,4,New Delhi
Grit,"International, Southern, Vegetarian",4.2,1,Athens
Excuse Me Boss,"Continental, North Indian, Chinese, Mediterranean",4.1,3,New Delhi
Cafe Parmesan,Italian,4.5,3,Faridabad
Blue Orchid Thai Restaurant,Thai,4.5,2,Lincoln
Cafe LazyMojo,"Cafe, Mexican, Italian, Continental",4.3,2,Jaipur
Def Col Social,"Continental, American, Asian, North Indian",3.9,3,New Delhi
Ethos Vegan Kitchen,"American, Breakfast, Vegetarian",4.4,2,Orlando
Zunzi's,"International, Mediterranean, Sandwich",4.5,2,Savannah
Fatburger,"American, Mexican",3.3,3,Gurgaon
Hinglish - Cafe Beach Bar,"Continental, North Indian, Italian",3.7,3,New Delhi
New Yorker Deli & Pizzeria,"Italian, Pizza, Sandwich",4.6,1,Pensacola
Baker Street,"Bakery, French",4.1,2,Puducherry
NamlU Gurme,Turkish,4.1,3,UAstanbul
The Rolling Joint,Fast Food,3.9,1,New Delhi
Momo Milk,"Cafe, Desserts, Beverages",3.7,2,Bogor
Raglan Road Irish Pub and Restaurant,Irish,4.3,4,Orlando
Sagar Ratna,"South Indian, North Indian, Chinese",4.0,2,New Delhi
Mainland China,Chinese,3.7,3,New Delhi
Qubitos - The Terrace Cafe,"Thai, European, Mexican, North Indian, Chinese, Cafe",4.5,3,New Delhi
The Blue Door Cafe,"Italian, French, European, Cafe",3.7,3,New Delhi
Aqua - The Park,"Continental, Italian, Mediterranean",3.8,4,New Delhi
@Mango,"North Indian, Continental, Mexican, Italian",4.1,3,Ahmedabad
Kathputli,Rajasthani,4.1,2,New Delhi
Ichiban,"Chinese, Thai, Japanese",3.9,3,New Delhi
Kent's Fast Food,"Burger, Fast Food",3.7,2,New Delhi
Kona Brewing Company,"American, Pizza, Bar Food",4.7,3,Rest of Hawaii
Garage Inc.,"Continental, American, Italian",3.4,3,New Delhi
Royal Sky,"North Indian, Mughlai, Chinese, Continental",4.2,3,Lucknow
Rahul Eggs,"Fast Food, South Indian",4.2,1,New Delhi
Dem Karaki_y,Cafe,4.5,2,UAstanbul
Lord of the Drinks Forum,"European, Chinese, North Indian, Italian",4.2,4,New Delhi
Five & Ten,American,4.3,3,Athens
Milse,Desserts,4.9,3,Auckland
Eat Street,"North Indian, Chinese, Italian, Street Food, Desserts",4.3,1,Bangalore
FIO Cookhouse and Bar,"European, Italian, North Indian",4.0,4,New Delhi
Old Famous Jalebi Wala,"Mithai, Street Food",3.9,1,New Delhi
IKKA - The Ace Bar,"Continental, North Indian, Chinese, Italian, Finger Food",3.6,3,New Delhi
Chili's Grill & Bar,"Mexican, American, Italian",4.1,3,Noida
Swagath,"North Indian, Chinese, South Indian, Seafood, Chettinad",3.9,3,New Delhi
Kitty Su - The Lalit New Delhi,Finger Food,3.7,4,New Delhi
Fisherman's Corner,"Sandwich, Seafood, Cajun",4.4,3,Pensacola
Moon River Brewing Company,"American, Bar Food, Sandwich",3.7,2,Savannah
San Carlo,Italian,4.3,2,Manchester
Puffizza,"Italian, Fast Food",4.3,2,Ahmedabad
Escondido Tapas,Mediterranean,4.4,4,Sandton
The Post Office Cafe,"Continental, Fast Food, North Indian, Asian",3.6,3,New Delhi
Mr. Crust Bakers,"Bakery, Desserts, Fast Food",4.2,1,New Delhi
Bikkgane Biryani,"Biryani, North Indian, Hyderabadi",4.1,2,New Delhi
Krispy Kreme,"Desserts, Beverages",4.0,1,New Delhi
Not Just Paranthas,North Indian,3.6,3,Gurgaon
Taxi Bar & Cafe,"North Indian, Chinese, Fast Food",3.3,2,New Delhi
Fozzie's Pizzaiolo,"Pizza, Italian, Beverages, Desserts",4.3,3,Ahmedabad
